Timestamp,Temperature (F),Current (A),Voltage (V),I_Output (%),U_Output (%)
2025-01-07 09:20:53,33.449963,2.615953,26.388885,61.695251,48.506691
2025-01-07 09:20:54,33.454784,2.646850,26.718746,60.088440,48.386757
2025-01-07 09:20:54,33.457195,2.626253,27.237099,61.056068,44.420349
2025-01-07 09:20:55,33.453583,2.626253,27.614084,61.015656,41.412144
2025-01-07 09:20:55,33.453594,2.646850,27.708328,59.942883,40.483986
2025-01-07 09:20:56,33.448761,2.615953,27.189976,61.469322,41.862671
2025-01-07 09:20:56,33.451157,2.595355,26.907240,62.500008,42.767673
2025-01-07 09:20:57,33.457222,2.595355,26.812992,62.506672,43.724468
2025-01-07 09:20:57,33.452377,2.585056,26.671625,63.027512,44.635654
2025-01-07 09:20:58,33.445118,2.574757,26.812992,63.553520,43.758095
2025-01-07 09:20:58,33.445107,2.605654,26.341763,62.006542,48.168865
2025-01-07 09:20:59,33.446327,2.636551,27.802578,60.413246,41.290550
2025-01-07 09:20:59,33.445103,2.605654,27.943945,61.934074,39.218903
2025-01-07 09:21:00,33.449936,2.585056,27.896820,62.983353,36.802677
2025-01-07 09:21:00,33.457207,2.533561,27.048609,65.632248,39.425358
2025-01-07 09:21:01,33.451168,2.502664,26.954361,67.291985,39.211823
2025-01-07 09:21:02,33.458443,2.461468,26.812992,69.426605,38.864216
2025-01-07 09:21:02,33.463276,2.461468,27.048609,69.426605,37.437431
2025-01-07 09:21:03,33.469341,2.430571,26.954361,70.971451,37.442829
2025-01-07 09:21:03,33.474174,2.440870,26.530254,70.456490,40.482452
2025-01-07 09:21:04,33.472980,2.451169,26.718746,69.941544,40.399632
2025-01-07 09:21:04,33.474197,2.451169,26.860117,69.941544,39.810749
2025-01-07 09:21:05,33.473022,2.440870,26.671625,70.456490,40.979935
2025-01-07 09:21:05,33.469395,2.451169,26.765869,69.941544,41.367554
2025-01-07 09:21:06,33.460907,2.502664,27.189976,67.366791,40.814651
2025-01-07 09:21:06,33.466957,2.533561,27.425591,65.821945,40.673859
2025-01-07 09:21:07,33.462109,2.523262,27.189976,66.336891,41.251137
2025-01-07 09:21:07,33.459682,2.502664,27.095732,67.366791,40.371647
2025-01-07 09:21:08,33.456043,2.492365,26.671625,67.881737,42.332626
2025-01-07 09:21:08,33.451195,2.502664,26.341763,67.366791,45.069115
2025-01-07 09:21:09,33.456017,2.523262,26.577377,66.336891,45.720066
2025-01-07 09:21:09,33.456005,2.523262,27.095732,66.336891,43.430653
2025-01-07 09:21:10,33.462032,2.543860,27.661205,65.306984,39.856487
2025-01-07 09:21:11,33.465660,2.554159,27.237099,64.792038,42.102158
2025-01-07 09:21:11,33.465675,2.543860,27.284224,65.306984,41.301575
2025-01-07 09:21:12,33.462048,2.533561,26.624500,65.821945,44.466263
2025-01-07 09:21:12,33.454803,2.554159,26.153271,64.792038,48.731976
2025-01-07 09:21:13,33.448769,2.585056,26.718746,63.247181,47.533825
2025-01-07 09:21:13,33.446342,2.585056,26.812992,63.247181,47.116791
2025-01-07 09:21:14,33.453602,2.585056,27.566963,63.247181,42.456161
2025-01-07 09:21:14,33.445137,2.595355,27.472713,62.732231,41.859516
2025-01-07 09:21:15,33.428196,2.585056,27.095732,63.247181,42.853222
2025-01-07 09:21:15,33.423363,2.574757,26.860117,63.762138,44.084072
2025-01-07 09:21:16,33.416088,2.543860,26.860117,65.306984,43.003948
2025-01-07 09:21:16,33.416103,2.533561,26.954361,65.821945,41.981369
2025-01-07 09:21:17,33.419720,2.502664,26.907240,67.366791,41.138435
2025-01-07 09:21:17,33.422142,2.471767,26.954361,68.911652,40.128605
2025-01-07 09:21:18,33.412476,2.461468,26.812992,69.426605,40.707317
2025-01-07 09:21:18,33.412487,2.492365,27.472713,67.881737,38.510033
2025-01-07 09:21:19,33.400398,2.492365,27.566963,67.881737,37.501823
2025-01-07 09:21:19,33.402809,2.461468,27.237099,69.426605,37.932369
2025-01-07 09:21:20,33.411274,2.440870,26.907240,70.456490,39.098106
2025-01-07 09:21:21,33.404015,2.420272,26.624500,71.486404,39.949444
2025-01-07 09:21:21,33.395580,2.430571,26.671625,70.971451,41.016460
2025-01-07 09:21:22,33.391922,2.440870,26.671625,70.456490,41.910816
2025-01-07 09:21:22,33.384666,2.440870,27.284224,70.456490,38.900425
2025-01-07 09:21:23,33.383446,2.482066,27.661205,68.396698,36.890991
2025-01-07 09:21:23,33.389496,2.482066,27.331347,68.396698,38.131424
2025-01-07 09:21:24,33.388290,2.482066,26.671625,68.396698,41.716690
2025-01-07 09:21:24,33.378613,2.492365,26.530254,67.881737,42.882389
2025-01-07 09:21:25,33.377419,2.502664,26.765869,67.366791,42.589676
2025-01-07 09:21:25,33.371376,2.502664,26.483131,67.366791,44.670696
2025-01-07 09:21:26,33.372597,2.512963,26.860117,66.851845,43.920387
2025-01-07 09:21:26,33.374992,2.543860,27.708328,65.306984,39.556767
2025-01-07 09:21:27,33.374992,2.543860,27.284224,65.306984,41.593407
2025-01-07 09:21:27,33.371365,2.554159,26.671625,64.792038,45.261265
2025-01-07 09:21:28,33.368942,2.554159,26.765869,64.792038,45.012867
2025-01-07 09:21:28,33.364098,2.554159,26.812992,64.792038,45.369305
2025-01-07 09:21:29,33.356842,2.543860,26.624500,65.306984,46.235329
2025-01-07 09:21:30,33.365314,2.543860,26.812992,65.306984,45.299389
2025-01-07 09:21:30,33.360451,2.543860,27.425591,65.306984,41.817245
2025-01-07 09:21:31,33.359245,2.574757,27.708328,63.762138,39.884712
2025-01-07 09:21:31,33.353176,2.554159,27.284224,64.792038,41.475780
2025-01-07 09:21:32,33.349564,2.533561,27.048609,65.821945,42.032410
2025-01-07 09:21:32,33.344742,2.512963,26.907240,66.851845,41.924961
2025-01-07 09:21:33,33.345947,2.502664,26.718746,67.366791,42.378189
2025-01-07 09:21:33,33.339909,2.492365,27.001484,67.881737,40.585869
2025-01-07 09:21:34,33.331448,2.471767,26.954361,68.911652,40.413036
2025-01-07 09:21:34,33.333874,2.482066,27.708328,68.396698,35.754471
2025-01-07 09:21:35,33.329037,2.471767,27.331347,68.911652,37.169109
2025-01-07 09:21:35,33.319374,2.451169,27.001484,69.941544,38.435757
2025-01-07 09:21:36,33.318172,2.440870,26.954361,70.456490,38.441612
2025-01-07 09:21:36,33.313354,2.409973,26.765869,72.001358,38.554977
2025-01-07 09:21:37,33.319405,2.409973,26.718746,72.001358,39.224739
2025-01-07 09:21:37,33.309738,2.409973,26.671625,72.001358,40.223038
2025-01-07 09:21:38,33.297649,2.430571,27.095732,70.971451,38.879513
2025-01-07 09:21:39,33.290379,2.471767,27.519838,68.911652,37.216053
2025-01-07 09:21:39,33.289158,2.461468,27.048609,69.426605,39.382748
2025-01-07 09:21:40,33.281902,2.471767,26.718746,68.911652,41.407963
2025-01-07 09:21:40,33.273426,2.482066,26.388885,68.396698,44.061676
2025-01-07 09:21:41,33.277054,2.492365,26.718746,67.881737,43.289490
2025-01-07 09:21:41,33.278248,2.492365,26.577377,67.881737,44.469913
2025-01-07 09:21:42,33.281857,2.512963,26.341763,66.851845,46.755283
2025-01-07 09:21:42,33.268532,2.564458,27.142855,64.277092,45.020912
2025-01-07 09:21:43,33.268517,2.615953,27.472713,61.698174,43.729141
2025-01-07 09:21:43,33.279404,2.615953,26.765869,61.691353,47.446918
2025-01-07 09:21:44,33.289085,2.646850,26.200396,60.112469,51.635082
2025-01-07 09:21:44,33.304806,2.749841,26.153271,54.820820,56.818752
2025-01-07 09:21:45,33.307201,2.801336,25.729162,51.991840,62.635227
2025-01-07 09:21:45,33.315659,2.760140,27.142855,53.796196,58.291428
2025-01-07 09:21:46,33.320492,2.729243,28.273808,55.134598,47.278431
2025-01-07 09:21:46,33.321712,2.698346,28.368053,56.535435,41.583687
2025-01-07 09:21:47,33.331398,2.636551,27.566963,59.551857,41.600311
2025-01-07 09:21:47,33.343491,2.585056,27.189976,62.116272,40.905037
2025-01-07 09:21:48,33.360413,2.574757,26.436010,62.672989,44.445118
2025-01-07 09:21:49,33.367672,2.564458,26.718746,63.229706,43.655937
2025-01-07 09:21:49,33.374928,2.533561,26.860117,64.834663,42.518463
2025-01-07 09:21:50,33.372501,2.512963,26.765869,65.951714,42.776215
2025-01-07 09:21:50,33.387028,2.492365,27.142855,67.089851,39.937382
2025-01-07 09:21:51,33.391865,2.482066,27.566963,67.755234,36.777737
2025-01-07 09:21:51,33.400341,2.482066,27.378469,67.926971,37.209023
2025-01-07 09:21:52,33.416061,2.471767,27.048609,68.622101,39.140472
2025-01-07 09:21:52,33.420895,2.461468,27.001484,69.320129,39.400242
2025-01-07 09:21:53,33.431793,2.461468,26.577377,69.426605,42.303169
2025-01-07 09:21:53,33.430588,2.461468,26.718746,69.426605,41.505505
2025-01-07 09:21:54,33.428177,2.451169,26.765869,69.941544,41.446369
2025-01-07 09:21:54,33.430614,2.471767,27.001484,68.911652,41.389244
2025-01-07 09:21:55,33.435448,2.523262,27.142855,66.336891,41.379421
2025-01-07 09:21:55,33.443913,2.543860,27.189976,65.306984,41.803177
2025-01-07 09:21:56,33.454811,2.543860,27.048609,65.306984,42.668026
2025-01-07 09:21:56,33.462051,2.554159,26.671625,64.792038,45.148983
2025-01-07 09:21:57,33.457237,2.554159,26.530254,64.792038,46.369564
2025-01-07 09:21:58,33.459644,2.564458,26.718746,64.277092,46.327694
2025-01-07 09:21:58,33.460854,2.564458,26.718746,64.277092,46.653107
2025-01-07 09:21:59,33.468124,2.564458,27.661205,64.277092,41.498062
2025-01-07 09:21:59,33.475380,2.585056,27.661205,63.247181,40.628483
2025-01-07 09:22:00,33.477764,2.564458,27.284224,64.277092,41.597538
2025-01-07 09:22:00,33.476574,2.554159,26.765869,64.792038,43.868210
2025-01-07 09:22:01,33.466892,2.543860,26.765869,65.306984,43.825447
2025-01-07 09:22:01,33.464481,2.554159,26.530254,64.792038,46.176785
2025-01-07 09:22:02,33.464497,2.595355,27.237099,62.732231,43.707375
2025-01-07 09:22:02,33.460854,2.564458,26.624500,64.277092,47.397522
2025-01-07 09:22:03,33.460854,2.543860,27.189976,65.306984,43.437778
2025-01-07 09:22:03,33.456032,2.533561,27.566963,65.821945,40.264389
2025-01-07 09:22:04,33.452374,2.554159,27.708328,64.792038,38.451870
2025-01-07 09:22:04,33.445099,2.533561,27.425591,65.821945,38.836784
2025-01-07 09:22:05,33.437870,2.523262,27.142855,66.336891,39.841606
2025-01-07 09:22:05,33.447536,2.512963,27.001484,66.851845,41.013432
2025-01-07 09:22:06,33.440281,2.492365,26.812992,67.881737,41.500141
2025-01-07 09:22:07,33.443897,2.471767,27.048609,68.911652,39.643299
2025-01-07 09:22:07,33.436634,2.451169,26.671625,69.941544,40.984879
2025-01-07 09:22:08,33.435413,2.430571,26.812992,70.971451,40.332947
2025-01-07 09:22:08,33.428173,2.451169,27.425591,69.941544,37.432007
2025-01-07 09:22:09,33.422108,2.451169,27.614084,69.941544,35.426071
2025-01-07 09:22:09,33.423328,2.430571,27.048609,70.971451,37.172062
2025-01-07 09:22:10,33.423344,2.440870,26.436010,70.456490,41.097145
2025-01-07 09:22:10,33.424549,2.492365,26.294638,67.881737,45.032894
2025-01-07 09:22:11,33.413677,2.502664,26.860117,67.366791,42.892815
2025-01-07 09:22:11,33.414879,2.471767,27.001484,68.911652,40.830257
2025-01-07 09:22:12,33.405201,2.451169,27.425591,69.941544,37.825211
2025-01-07 09:22:12,33.406410,2.482066,27.661205,68.396698,36.118237
2025-01-07 09:22:13,33.404015,2.461468,27.189976,69.426605,38.132866
2025-01-07 09:22:13,33.402794,2.451169,26.860117,69.941544,40.257599
2025-01-07 09:22:14,33.399181,2.461468,26.765869,69.426605,41.309582
2025-01-07 09:22:14,33.393131,2.471767,26.530254,68.911652,42.904091
2025-01-07 09:22:15,33.399151,2.502664,26.247517,67.366791,46.275730
2025-01-07 09:22:15,33.397934,2.543860,26.765869,65.306984,46.446644
2025-01-07 09:22:16,33.391869,2.626253,27.237099,61.180603,46.041405
2025-01-07 09:22:17,33.395512,2.677748,26.860117,58.555336,50.197586
2025-01-07 09:22:17,33.394291,2.708645,26.860117,56.891998,51.380817
2025-01-07 09:22:18,33.384609,2.698346,27.142855,57.268848,49.492264
2025-01-07 09:22:18,33.385799,2.657150,26.907240,59.225815,48.025040
2025-01-07 09:22:19,33.382183,2.626253,27.378469,60.702843,43.760269
2025-01-07 09:22:19,33.379745,2.595355,26.954361,62.234276,44.379696
2025-01-07 09:22:20,33.373692,2.595355,26.765869,62.229294,46.239075
2025-01-07 09:22:20,33.365231,2.574757,27.708328,63.270279,40.089062
2025-01-07 09:22:21,33.361618,2.574757,27.566963,63.319664,39.666519
2025-01-07 09:22:21,33.357986,2.533561,27.189976,65.458939,40.774681
2025-01-07 09:22:22,33.343491,2.512963,26.954361,66.598808,41.380905
2025-01-07 09:22:22,33.337460,2.482066,26.954361,68.280357,40.886646
2025-01-07 09:22:23,33.335052,2.451169,26.718746,69.941544,41.138096
2025-01-07 09:22:23,33.339890,2.440870,27.048609,70.456490,39.013237
2025-01-07 09:22:24,33.331402,2.430571,27.378469,70.971451,36.553024
2025-01-07 09:22:24,33.332607,2.461468,27.331347,69.426605,36.797764
2025-01-07 09:22:25,33.327789,2.471767,27.378469,68.911652,37.530441
2025-01-07 09:22:26,33.320534,2.451169,27.001484,69.941544,38.630390
2025-01-07 09:22:26,33.322941,2.440870,26.812992,70.456490,39.633186
2025-01-07 09:22:27,33.320530,2.440870,26.530254,70.456490,41.253071
2025-01-07 09:22:27,33.325363,2.482066,26.153271,68.396698,45.534897
2025-01-07 09:22:28,33.320518,2.512963,26.388885,66.851845,47.256443
2025-01-07 09:22:28,33.322941,2.533561,26.860117,65.821945,45.446056
2025-01-07 09:22:29,33.309639,2.543860,26.954361,65.306984,45.259861
2025-01-07 09:22:29,33.308449,2.574757,27.802578,63.762138,39.806702
2025-01-07 09:22:30,33.307255,2.564458,27.237099,64.277092,41.807190
2025-01-07 09:22:30,33.303627,2.554159,26.954361,64.792038,42.833775
2025-01-07 09:22:31,33.303642,2.574757,26.530254,63.762138,46.518848
2025-01-07 09:22:31,33.286720,2.574757,26.577377,63.762138,46.885456
2025-01-07 09:22:32,33.286720,2.585056,26.671625,63.247181,47.778862
2025-01-07 09:22:32,33.284298,2.595355,26.530254,62.732231,49.319107
2025-01-07 09:22:33,33.290333,2.615953,27.142855,61.678375,47.088017
2025-01-07 09:22:33,33.289101,2.636551,27.708328,60.616119,42.745991
2025-01-07 09:22:34,33.289101,2.605654,27.425591,62.153496,42.511066
2025-01-07 09:22:35,33.286690,2.585056,26.812992,63.195103,44.986977
2025-01-07 09:22:35,33.281845,2.574757,26.718746,63.740913,45.148808
2025-01-07 09:22:36,33.285473,2.564458,26.812992,64.277092,44.982025
2025-01-07 09:22:36,33.285473,2.554159,26.483131,64.792038,47.374840
2025-01-07 09:22:37,33.289101,2.554159,26.671625,64.792038,47.009220
2025-01-07 09:22:37,33.285454,2.564458,27.566963,64.277092,42.471733
2025-01-07 09:22:38,33.281826,2.585056,27.755453,63.247181,40.232830
2025-01-07 09:22:38,33.274570,2.543860,27.472713,65.306984,39.431969
2025-01-07 09:22:39,33.262497,2.502664,27.142855,67.366791,39.402218
2025-01-07 09:22:39,33.267345,2.471767,26.860117,68.911652,40.099312
2025-01-07 09:22:40,33.270958,2.451169,26.718746,69.941544,40.158886
2025-01-07 09:22:40,33.268547,2.430571,26.860117,70.971451,39.452244
2025-01-07 09:22:41,33.266125,2.430571,26.860117,70.971451,40.426582
2025-01-07 09:22:41,33.264923,2.482066,27.331347,68.396698,39.511009
2025-01-07 09:22:42,33.270973,2.492365,27.425591,67.881737,39.044529
2025-01-07 09:22:42,33.271004,2.482066,27.142855,68.396698,39.609131
2025-01-07 09:22:43,33.272209,2.471767,26.765869,68.911652,41.178585
2025-01-07 09:22:43,33.275848,2.492365,26.247517,67.881737,44.809986
2025-01-07 09:22:44,33.283104,2.512963,26.812992,66.851845,43.565826
2025-01-07 09:22:45,33.289146,2.502664,26.577377,67.366791,45.202858
2025-01-07 09:22:45,33.296417,2.512963,27.566963,66.851845,40.311813
2025-01-07 09:22:46,33.303673,2.533561,27.425591,65.821945,40.588150
2025-01-07 09:22:46,33.312138,2.533561,27.142855,65.821945,41.908272
2025-01-07 09:22:47,33.309711,2.564458,26.483131,64.277092,46.523373
2025-01-07 09:22:47,33.312119,2.585056,27.048609,63.247181,44.121208
2025-01-07 09:22:48,33.318157,2.554159,26.954361,64.792038,43.281059
2025-01-07 09:22:48,33.326633,2.533561,26.671625,65.821945,44.237305
2025-01-07 09:22:49,33.335094,2.523262,26.812992,66.336891,44.041122
2025-01-07 09:22:49,33.344765,2.523262,26.718746,66.336891,44.616131
2025-01-07 09:22:50,33.344765,2.523262,26.765869,66.336891,45.046127
2025-01-07 09:22:50,33.348377,2.543860,27.566963,65.306984,41.023487
2025-01-07 09:22:51,33.347160,2.564458,27.519838,64.277092,40.840652
2025-01-07 09:22:51,33.353199,2.574757,27.614084,63.762138,40.309082
2025-01-07 09:22:52,33.367714,2.564458,27.425591,64.277092,40.678642
2025-01-07 09:22:52,33.381008,2.533561,26.765869,65.821945,43.210003
2025-01-07 09:22:53,33.384621,2.512963,26.718746,66.851845,42.602940
