Timestamp,Temperature (F),Current (A),Voltage (V),I_Output (%),U_Output (%)
2025-01-11 04:21:08,2.839989,2.626253,19.838787,40.548267,100.000000
2025-01-11 04:21:08,2.842395,2.646850,19.838787,39.474922,100.000000
2025-01-11 04:21:09,2.848409,2.615953,18.802080,40.991577,100.000000
2025-01-11 04:21:09,2.853220,2.615953,19.226189,40.961311,100.000000
2025-01-11 04:21:10,2.864046,2.615953,19.791664,40.952957,100.000000
2025-01-11 04:21:11,2.868858,2.595355,18.943451,41.973179,100.000000
2025-01-11 04:21:11,2.866452,2.595355,19.084820,41.966778,100.000000
2025-01-11 04:21:12,2.883292,2.636551,19.650295,39.900604,100.000000
2025-01-11 04:21:12,2.897727,2.595355,18.707836,41.944805,100.000000
2025-01-11 04:21:13,2.902539,2.615953,19.131941,40.878063,100.000000
2025-01-11 04:21:13,2.908553,2.646850,19.603172,39.304558,100.000000
2025-01-11 04:21:14,2.913365,2.636551,19.556049,39.792000,100.000000
2025-01-11 04:21:15,2.921785,2.595355,19.650295,41.849464,100.000000
2025-01-11 04:21:15,2.922988,2.605654,18.990574,41.303665,100.000000
2025-01-11 04:21:16,2.921785,2.615953,19.650295,40.789654,100.000000
2025-01-11 04:21:16,2.925393,2.585056,19.744541,42.350021,100.000000
2025-01-11 04:21:17,2.920582,2.595355,19.414680,41.820114,100.000000
2025-01-11 04:21:18,2.919379,2.615953,19.744541,40.783104,100.000000
2025-01-11 04:21:18,2.912162,2.585056,19.885910,42.330219,100.000000
2025-01-11 04:21:19,2.919379,2.595355,19.414680,41.797699,100.000000
2025-01-11 04:21:19,2.922987,2.605654,20.027279,41.286289,100.000000
2025-01-11 04:21:20,2.920582,2.585056,20.121525,42.336346,100.000000
2025-01-11 04:21:21,2.919379,2.585056,19.508926,42.343903,100.000000
2025-01-11 04:21:21,2.920582,2.595355,19.838787,41.850349,100.000000
2025-01-11 04:21:22,2.915771,2.585056,20.262894,42.392681,100.000000
2025-01-11 04:21:22,2.910959,2.595355,19.414680,41.870075,100.000000
2025-01-11 04:21:23,2.912162,2.615953,20.168650,40.833771,100.000000
2025-01-11 04:21:23,2.910958,2.585056,19.791664,42.380894,100.000000
2025-01-11 04:21:24,2.909755,2.585056,19.179066,42.375690,100.000000
2025-01-11 04:21:25,2.902539,2.595355,19.461803,41.852356,100.000000
2025-01-11 04:21:25,2.903741,2.615953,20.027279,40.831268,100.000000
2025-01-11 04:21:26,2.896524,2.585056,19.179066,42.386341,100.000000
2025-01-11 04:21:26,2.888104,2.605654,19.556049,41.342770,100.000000
2025-01-11 04:21:27,2.877278,2.626253,20.310017,40.311771,100.000000
2025-01-11 04:21:28,2.874872,2.595355,19.367558,41.848984,100.000000
2025-01-11 04:21:28,2.874872,2.605654,19.556049,41.324982,100.000000
2025-01-11 04:21:29,2.868858,2.615953,20.027279,40.811615,100.000000
2025-01-11 04:21:29,2.871264,2.585056,19.084820,42.364033,100.000000
2025-01-11 04:21:30,2.867655,2.595355,19.461803,41.845348,100.000000
2025-01-11 04:21:31,2.860438,2.605654,20.121525,41.347160,100.000000
2025-01-11 04:21:31,2.862844,2.585056,19.226189,42.391891,100.000000
2025-01-11 04:21:32,2.867655,2.605654,19.556049,41.357536,100.000000
2025-01-11 04:21:32,2.870061,2.626253,20.262894,40.329201,100.000000
2025-01-11 04:21:33,2.874872,2.605654,20.168650,41.351254,100.000000
2025-01-11 04:21:34,2.872466,2.605654,19.273310,41.325722,100.000000
2025-01-11 04:21:34,2.877278,2.605654,19.556049,41.314079,100.000000
2025-01-11 04:21:35,2.874872,2.636551,20.027279,39.760193,100.000000
2025-01-11 04:21:35,2.872467,2.595355,18.896326,41.817650,100.000000
2025-01-11 04:21:36,2.876076,2.605654,19.084820,41.300896,100.000000
2025-01-11 04:21:36,2.889307,2.605654,19.838787,41.310410,100.000000
2025-01-11 04:21:37,2.891713,2.595355,18.802080,41.822979,100.000000
2025-01-11 04:21:38,2.878481,2.605654,19.179066,41.281715,100.000000
2025-01-11 04:21:38,2.877279,2.636551,19.933033,39.718605,100.000000
2025-01-11 04:21:39,2.878482,2.605654,18.943451,41.240559,100.000000
2025-01-11 04:21:39,2.878482,2.605654,19.179066,41.216293,100.000000
2025-01-11 04:21:40,2.882090,2.626253,19.838787,40.173424,100.000000
2025-01-11 04:21:41,2.888104,2.585056,18.707836,42.225590,100.000000
2025-01-11 04:21:41,2.884495,2.605654,19.226189,41.189270,100.000000
2025-01-11 04:21:42,2.885699,2.615953,19.650295,40.680603,100.000000
2025-01-11 04:21:42,2.874873,2.585056,18.660711,42.237629,100.000000
2025-01-11 04:21:43,2.859236,2.605654,19.084820,41.188751,100.000000
2025-01-11 04:21:44,2.866452,2.636551,19.697418,39.624931,100.000000
2025-01-11 04:21:44,2.853220,2.595355,18.707836,41.669117,100.000000
2025-01-11 04:21:45,2.844800,2.605654,18.707836,41.123558,100.000000
2025-01-11 04:21:45,2.836381,2.626253,19.367558,40.072029,100.000000
2025-01-11 04:21:46,2.824352,2.615953,19.650295,40.586548,100.000000
2025-01-11 04:21:47,2.815932,2.585056,18.754959,42.134357,100.000000
2025-01-11 04:21:47,2.797889,2.605654,19.037695,41.102657,100.000000
2025-01-11 04:21:48,2.787063,2.605654,19.791664,41.109512,100.000000
2025-01-11 04:21:48,2.782252,2.605654,18.754959,41.086632,100.000000
2025-01-11 04:21:49,2.781049,2.615953,19.367558,40.537502,100.000000
2025-01-11 04:21:50,2.776238,2.605654,19.603172,41.039490,100.000000
2025-01-11 04:21:50,2.777441,2.605654,18.990574,41.011997,100.000000
2025-01-11 04:21:51,2.771426,2.595355,19.084820,41.532555,100.000000
2025-01-11 04:21:51,2.776238,2.605654,19.885910,41.034370,100.000000
2025-01-11 04:21:52,2.770223,2.595355,18.802080,41.546982,100.000000
2025-01-11 04:21:52,2.760600,2.615953,19.414680,40.505405,100.000000
2025-01-11 04:21:53,2.770223,2.605654,19.838787,41.012001,100.000000
2025-01-11 04:21:54,2.767817,2.595355,19.131941,41.496826,100.000000
2025-01-11 04:21:54,2.767817,2.626253,19.414680,39.932297,100.000000
2025-01-11 04:21:55,2.770223,2.605654,19.603172,40.976139,100.000000
2025-01-11 04:21:55,2.761802,2.585056,19.367558,42.010956,100.000000
2025-01-11 04:21:56,2.765411,2.595355,19.131941,41.502872,100.000000
2025-01-11 04:21:57,2.770223,2.605654,20.027279,41.004673,100.000000
2025-01-11 04:21:57,2.766614,2.585056,19.367558,42.052055,100.000000
2025-01-11 04:21:58,2.764209,2.605654,19.650295,41.011139,100.000000
2025-01-11 04:21:58,2.776237,2.615953,20.168650,40.497749,100.000000
2025-01-11 04:21:59,2.777440,2.585056,19.980156,42.057487,100.000000
2025-01-11 04:22:00,2.782251,2.585056,19.414680,42.057789,100.000000
2025-01-11 04:22:00,2.784657,2.595355,20.168650,41.564224,100.000000
2025-01-11 04:22:01,2.784657,2.564458,19.273310,43.141762,100.000000
2025-01-11 04:22:01,2.789469,2.585056,19.603172,42.128616,100.000000
2025-01-11 04:22:02,2.790672,2.605654,20.027279,41.120090,100.000000
2025-01-11 04:22:03,2.793077,2.585056,19.273310,42.164822,100.000000
2025-01-11 04:22:03,2.802701,2.585056,19.320435,42.164921,100.000000
2025-01-11 04:22:04,2.817135,2.595355,19.980156,41.656181,100.000000
2025-01-11 04:22:04,2.815932,2.595355,20.404264,41.680908,100.000000
2025-01-11 04:22:05,2.811121,2.585056,19.556049,42.210682,100.000000
2025-01-11 04:22:06,2.817135,2.585056,19.603172,42.225033,100.000000
2025-01-11 04:22:06,2.819541,2.595355,20.027279,41.736771,100.000000
2025-01-11 04:22:07,2.818338,2.585056,19.556049,42.271595,100.000000
2025-01-11 04:22:07,2.807512,2.605654,20.357140,41.263763,100.000000
2025-01-11 04:22:08,2.802701,2.585056,19.508926,42.308556,100.000000
2025-01-11 04:22:08,2.803903,2.605654,19.556049,41.255070,100.000000
2025-01-11 04:22:09,2.802700,2.615953,20.027279,40.739029,100.000000
2025-01-11 04:22:10,2.795483,2.585056,19.131941,42.294094,100.000000
2025-01-11 04:22:10,2.796685,2.595355,19.367558,41.778015,100.000000
2025-01-11 04:22:11,2.801497,2.615953,20.121525,40.759575,100.000000
2025-01-11 04:22:11,2.800294,2.585056,19.179066,42.306686,100.000000
2025-01-11 04:22:12,2.799092,2.615953,19.508926,40.735519,100.000000
2025-01-11 04:22:13,2.807512,2.636551,19.744541,39.671394,100.000000
2025-01-11 04:22:13,2.813527,2.585056,19.131941,42.259014,100.000000
2025-01-11 04:22:14,2.812324,2.605654,19.273310,41.215820,100.000000
2025-01-11 04:22:14,2.817136,2.605654,19.273310,41.219196,100.000000
2025-01-11 04:22:15,2.811121,2.636551,19.980156,39.675209,100.000000
2025-01-11 04:22:15,2.806310,2.595355,18.943451,41.722748,100.000000
2025-01-11 04:22:16,2.812324,2.605654,18.990574,41.174721,100.000000
2025-01-11 04:22:17,2.814730,2.595355,19.226189,41.685356,100.000000
2025-01-11 04:22:17,2.815933,2.605654,19.744541,41.179909,100.000000
2025-01-11 04:22:18,2.815932,2.595355,18.896326,41.689869,100.000000
2025-01-11 04:22:18,2.809918,2.626253,19.179066,40.125343,100.000000
2025-01-11 04:22:19,2.809918,2.626253,19.791664,40.104408,100.000000
2025-01-11 04:22:20,2.813526,2.605654,18.566465,41.106129,100.000000
2025-01-11 04:22:20,2.808715,2.615953,19.179066,40.574867,100.000000
2025-01-11 04:22:21,2.814729,2.615953,19.508926,40.581753,100.000000
2025-01-11 04:22:21,2.823149,2.554159,17.199898,43.682327,100.000000
2025-01-11 04:22:22,2.829164,1.895021,7.681050,77.011414,86.935280
2025-01-11 04:22:23,2.824353,1.544854,5.324900,94.519760,97.537949
2025-01-11 04:22:23,2.832773,1.349173,3.816964,100.000000,100.000000
2025-01-11 04:22:24,2.846004,1.194687,2.921627,100.000000,100.000000
2025-01-11 04:22:24,2.858033,1.071099,2.214781,100.000000,100.000000
2025-01-11 04:22:25,2.870062,0.937212,1.790674,100.000000,100.000000
2025-01-11 04:22:25,2.872467,0.834221,1.413690,100.000000,100.000000
2025-01-11 04:22:26,2.882091,0.710633,1.178075,100.000000,100.000000
2025-01-11 04:22:27,2.891714,0.597344,0.942460,100.000000,100.000000
2025-01-11 04:22:27,2.898931,0.494353,0.801091,100.000000,100.000000
2025-01-11 04:22:28,2.897728,0.391363,0.659722,100.000000,100.000000
2025-01-11 04:22:28,2.897728,0.298672,0.612599,100.000000,100.000000
2025-01-11 04:22:29,2.903742,0.226579,0.518353,100.000000,100.000000
2025-01-11 04:22:30,2.904945,0.175084,0.471230,100.000000,100.000000
2025-01-11 04:22:30,2.902539,0.133887,0.424107,100.000000,100.000000
2025-01-11 04:22:31,2.901337,0.102990,0.376984,100.000000,100.000000
2025-01-11 04:22:31,2.902540,0.092691,0.329861,100.000000,100.000000
2025-01-11 04:22:32,2.906148,0.072093,0.329861,100.000000,100.000000
2025-01-11 04:22:33,2.910959,0.061794,0.329861,100.000000,100.000000
2025-01-11 04:22:33,2.910959,0.051495,0.329861,100.000000,100.000000
2025-01-11 04:22:34,2.912162,0.041196,0.282738,100.000000,100.000000
2025-01-11 04:22:34,2.921785,0.041196,0.282738,100.000000,100.000000
2025-01-11 04:22:35,2.916973,0.030897,0.282738,100.000000,100.000000
2025-01-11 04:22:36,2.909756,0.030897,0.282738,100.000000,100.000000
2025-01-11 04:22:36,2.904944,0.020598,0.282738,100.000000,100.000000
2025-01-11 04:22:37,2.903741,0.020598,0.282738,100.000000,100.000000
2025-01-11 04:22:37,2.910958,0.020598,0.235615,100.000000,100.000000
2025-01-11 04:22:38,2.908553,0.020598,0.235615,100.000000,100.000000
2025-01-11 04:22:38,2.904944,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:39,2.904944,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:40,2.896524,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:40,2.900132,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:41,2.903741,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:41,2.914567,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:42,2.922987,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:43,2.936219,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:43,2.939827,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:44,2.943436,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:44,2.951856,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:45,2.960276,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:46,2.972304,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:46,2.971102,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:47,2.977117,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:47,2.978320,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:48,2.978320,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:49,2.973508,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:49,2.969900,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:50,2.974711,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:50,2.975913,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:51,2.968696,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:51,2.966291,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:52,2.960276,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:53,2.957870,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:53,2.960276,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:54,2.957870,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:54,2.955464,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:55,2.954261,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:56,2.956667,0.010299,0.235615,100.000000,100.000000
2025-01-11 04:22:56,2.953058,0.010299,0.235615,100.000000,100.000000
